Name	Assembly	Level	G.Size.Mb	GC	Scaffolds	CDS	day	month	year	group1	group2
Danio_rerio	GCA_000002035.4	Chromosome	1679.2	36.6374	2848	57100	5	7	2005	Animals	Fishes
Ciona_intestinalis	GCA_000224145.2	Chromosome	115.227	36.0239	1280	21099	27	4	2011	Animals	Other_Animals
Homo_sapiens	GCA_000001405.27	Chromosome	3257.32	41.465	874	119294	2	8	2002	Animals	Mammals
Mus_musculus	GCA_000001635.8	Chromosome	2818.97	41.951	336	78443	2	9	2004	Animals	Mammals
Aspergillus_terreus_NIH2624	GCA_000149615.1	Scaffold	29.364	52.8	27	10401	9	9	2005	Fungi	Ascomycetes
Glossina_morsitans_morsitans	GCA_001077435.1	Contig	363.107	34.1	24071	0	12	3	2014	Animals	Insects
Dictyostelium_discoideum_AX4	GCA_000004695.1	Chromosome	34.205	22.4631	41	13315	3	3	2005	Protists	Other_Protists
Guillardia_theta_CCMP2712	GCA_000315625.1	Scaffold	87.1453	52.9	669	24822	2	11	2012	Other	Other
Fusarium_graminearum_PH-1	GCA_000240135.3	Chromosome	36.458	48.3278	31	13313	9	5	2003	Fungi	Ascomycetes
Thalassiosira_pseudonana_CCMP1335	GCA_000149405.2	Chromosome	32.4374	46.905	64	11673	7	10	2004	Other	Other
Saccharomyces_bayanus_623-6C	GCA_000167035.1	Scaffold	11.8653	40.2	586	0	22	5	2003	Fungi	Ascomycetes
Saccharomyces_mikatae_IFO_1815	GCA_000166975.1	Contig	11.4703	38	1648	0	28	3	2003	Fungi	Ascomycetes
Cryptococcus_neoformans_var._neoformans_JEC21	GCA_000091045.1	Chromosome	19.0519	48.5368	14	6863	7	1	2005	Fungi	Basidiomycetes
Pyricularia_oryzae_70-15	GCA_000002495.2	Chromosome	40.9791	51.5882	53	12989	31	10	2003	Fungi	Ascomycetes
Plasmodium_yoelii	GCA_900002385.1	Chromosome	22.7559	21.9201	154	5926	27	8	2014	Protists	Apicomplexans
Saccharomyces_paradoxus	GCA_002079145.1	Chromosome	12.2147	38.242	17	0	21	3	2017	Fungi	Ascomycetes
Takifugu_rubripes	GCA_000180615.2	Chromosome	391.485	45.8414	7091	31052	22	8	2002	Animals	Fishes
Ciona_savignyi	GCA_000149265.1	Scaffold	587.353	37.5	34009	0	24	10	2003	Animals	Other_Animals
Saccharomyces_kudriavzevii	GCA_003327635.1	Chromosome	11.8514	39.6269	17	0	19	7	2018	Fungi	Ascomycetes
Naumovozyma_castellii_CBS_4309	GCA_000237345.1	Chromosome	11.2195	36.7559	10	5589	1	8	2011	Fungi	Ascomycetes
Coprinopsis_cinerea_okayama7_130	GCA_000182895.1	Contig	36.1926	51.6	68	13356	30	7	2003	Fungi	Basidiomycetes
Lachancea_kluyveri_NRRL_Y-12651	GCA_000149225.1	Chromosome	11.5091	41.6535	32	0	22	5	2003	Fungi	Ascomycetes
Ustilago_maydis_521	GCA_000328475.2	Chromosome	19.6644	54.0121	27	6782	29	7	2003	Fungi	Basidiomycetes
Rattus_norvegicus	GCA_000001895.4	Chromosome	2870.18	42.3282	1395	56113	27	11	2002	Animals	Mammals
Eremothecium_gossypii_ATCC_10895	GCA_000091025.4	Complete	9.11931	51.6989	8	4776	4	3	2004	Fungi	Ascomycetes
Branchiostoma_floridae	GCA_000003815.1	Scaffold	521.895	41.8	398	28623	24	4	2008	Animals	Other_Animals
Bombyx_mori	GCA_000151625.1	Scaffold	481.819	38.7993	43463	22571	23	4	2008	Animals	Insects
Felis_catus	GCA_000181335.4	Chromosome	2521.86	41.8806	4525	54726	27	4	2006	Animals	Mammals
Cyanidioschyzon_merolae_strain_10D	GCA_000091205.1	Complete	16.5467	55.0171	20	4803	9	4	2004	Other	Other
Xenopus_tropicalis	GCA_000004195.3	Chromosome	1440.4	40.5404	6822	39715	13	11	2009	Animals	Amphibians
Xenopus_laevis	GCA_001663975.1	Chromosome	2718.43	40.2325	108033	56817	14	6	2016	Animals	Amphibians
Coffea_arabica	GCA_003713225.1	Chromosome	1094.45	36.9585	2833	67222	6	11	2018	Plants	Land_Plants
Bos_taurus	GCA_002263795.2	Chromosome	2715.85	41.9362	2211	63696	21	8	2017	Animals	Mammals
Ovis_aries	GCA_002742125.1	Chromosome	2869.91	41.9088	2641	42391	31	10	2017	Animals	Mammals
Sus_scrofa	GCA_000003025.6	Chromosome	2501.91	41.971	706	63577	11	7	2008	Animals	Mammals
Canis_lupus_familiaris	GCA_000002285.2	Chromosome	2410.98	41.3022	3310	58776	10	7	2004	Animals	Mammals
Strongylocentrotus_purpuratus	GCA_000002235.3	Scaffold	990.915	38.3	31897	35804	11	3	2005	Animals	Other_Animals
Lachancea_waltii_NCYC_2644	GCA_000167115.1	Contig	10.9121	44.3	713	0	15	3	2004	Fungi	Ascomycetes
Coccidioides_posadasii_C735_delta_SOWgp	GCA_000151335.1	Contig	27.0134	46.6	55	7227	17	6	2009	Fungi	Ascomycetes
Lotus_japonicus	GCA_000181115.2	Contig	394.455	36.6	44464	0	28	5	2008	Plants	Land_Plants
Populus_trichocarpa	GCA_000002775.3	Chromosome	434.29	34.1468	1694	51717	14	9	2006	Plants	Land_Plants
Sorghum_bicolor	GCA_000003195.3	Chromosome	709.345	44.1611	869	39248	22	5	2009	Plants	Land_Plants
Gallus_gallus	GCA_000002315.5	Chromosome	1065.37	42.3032	525	49681	29	2	2004	Animals	Birds
Meleagris_gallopavo	GCA_000146605.3	Chromosome	1128.34	41.7219	233806	33329	7	9	2010	Animals	Birds
Coturnix_japonica	GCA_001577835.1	Chromosome	927.657	41.3684	2531	39088	24	2	2016	Animals	Birds
Eudromia_elegans	GCA_003342815.1	Scaffold	955.515	41.8	2364	0	26	7	2018	Animals	Birds
Apteryx_haastii	GCA_003342985.1	Scaffold	1221.44	40.8	4183	0	26	7	2018	Animals	Birds
Pterocnemia_pennata	GCA_003342835.1	Scaffold	1168.29	40.3	3019	0	26	7	2018	Animals	Birds
Struthio_camelus_australis	GCA_000698965.1	Scaffold	1225.04	41.3	6915	25438	6	5	2014	Animals	Birds
Dromaius_novaehollandiae	GCA_003342905.1	Scaffold	1192.25	41.7	2778	31311	26	7	2018	Animals	Birds
Casuarius_casuarius	GCA_003342895.1	Scaffold	1209	41.4	3184	0	26	7	2018	Animals	Birds
Ciconia_boyciana	GCA_002002965.1	Scaffold	1364.95	43.6	505419	0	1	7	2016	Animals	Birds
Falco_peregrinus	GCA_000337955.1	Scaffold	1171.97	41.8	7021	31140	5	2	2013	Animals	Birds
Rhea_americana	GCA_003343005.1	Scaffold	1160.84	40.2	2162	0	26	7	2018	Animals	Birds
Equus_caballus	GCA_002863925.1	Chromosome	2506.97	41.5271	4701	60900	26	6	2007	Animals	Mammals
Gasterosteus_aculeatus	GCA_000180675.1	Contig	446.611	44.6	16957	0	1	2	2006	Animals	Fishes
Chlamydomonas_reinhardtii	GCA_000002595.2	Scaffold	120.405	61.9512	1558	14488	3	8	2007	Plants	Green_Algae
Drosophila_yakuba	GCA_000005975.1	Chromosome	165.71	42.3955	8123	23317	7	7	2004	Animals	Insects
Ornithorhynchus_anatinus	GCA_000002275.2	Chromosome	1996.81	42.0008	201524	0	10	4	2006	Animals	Mammals
Tetraodon_nigroviridis	GCA_000180735.1	Scaffold	342.403	46.6	25773	27883	14	5	2004	Animals	Fishes
[Candida]_glabrata	GCA_000002545.2	Chromosome	12.3383	38.6198	14	5213	30	6	2004	Fungi	Ascomycetes
Yarrowia_lipolytica_CLIB122	GCA_000002525.1	Chromosome	20.5509	48.9801	7	6472	2	7	2004	Fungi	Ascomycetes
Kluyveromyces_lactis	GCA_000002515.1	Complete	10.7294	38.7053	7	5085	2	7	2004	Fungi	Ascomycetes
Oreochromis_niloticus	GCA_001858045.3	Chromosome	1005.68	40.7187	2460	61679	31	10	2016	Animals	Fishes
Ictalurus_punctatus	GCA_001660625.1	Chromosome	783.275	39.8391	9975	47978	9	6	2016	Animals	Fishes
Debaryomyces_hansenii_CBS767	GCA_000006445.2	Chromosome	12.1819	36.3369	8	6286	3	7	2004	Fungi	Ascomycetes
Oncorhynchus_mykiss	GCA_002163495.1	Chromosome	2179	43.4875	139800	71266	31	5	2017	Animals	Fishes
Drosophila_simulans	GCA_000754195.3	Chromosome	124.964	42.9696	7619	24132	18	8	2014	Animals	Insects
Drosophila_mauritiana	GCA_004382145.1	Chromosome	152.317	42.1927	353	0	26	3	2019	Animals	Insects
Pan_troglodytes	GCA_002880755.3	Chromosome	3050.4	40.8082	4432	80811	2	12	2004	Animals	Mammals
Brassica_napus	GCA_000686985.2	Chromosome	976.191	37.4074	1471	123467	5	5	2014	Plants	Land_Plants
Kazachstania_servazzii	GCA_002214935.1	Contig	12.8368	34.9	91	0	5	7	2017	Fungi	Ascomycetes
Zygosaccharomyces_rouxii	GCA_000026365.1	Chromosome	9.76464	39.1509	7	4991	5	6	2009	Fungi	Ascomycetes
Lachancea_thermotolerans_CBS_6340	GCA_000142805.1	Chromosome	10.3929	47.2838	8	5092	5	6	2009	Fungi	Ascomycetes
Millerozyma_farinosa	GCA_002196765.1	Contig	21.2555	41.1	17	0	16	6	2017	Fungi	Ascomycetes
Candida_tropicalis_MYA-3404	GCA_000006335.3	Scaffold	14.6301	33.2	24	6254	16	3	2005	Fungi	Ascomycetes
Macaca_mulatta	GCA_003339765.3	Chromosome	2971.33	41.1015	2979	67977	20	8	2015	Animals	Mammals
Tribolium_castaneum	GCA_000002335.3	Chromosome	165.944	35.1887	2149	22611	17	8	2005	Animals	Insects
Drosophila_pseudoobscura_pseudoobscura	GCA_000001765.2	Chromosome	152.696	45.3281	4790	23456	24	12	2003	Animals	Insects
Monodelphis_domestica	GCF_000002295.2	Chromosome	3598.44	38.1446	5223	49112	8	11	2004	Animals	Mammals
Beta_vulgaris_subsp._vulgaris	GCA_000511025.2	Chromosome	566.55	37.305	40406	32874	18	12	2013	Plants	Land_Plants
Phytophthora_sojae	GCA_000149755.2	Scaffold	82.5976	54.4	82	26489	1	9	2006	Protists	Other_Protists
Loxodonta_africana	GCA_000001905.1	Scaffold	3196.74	40.9	2352	41267	18	5	2005	Animals	Mammals
Tetrahymena_thermophila_SB210	GCA_000189635.1	Scaffold	103.014	22.3	1158	53992	14	2	2005	Protists	Other_Protists
Phytophthora_ramorum	GCA_002968915.1	Scaffold	60.25	54.4	295	0	5	3	2018	Protists	Other_Protists
Sorex_araneus	GCA_000181275.2	Scaffold	2423.16	43.4	12845	23427	5	11	2005	Animals	Mammals
Erinaceus_europaeus	GCA_000296755.1	Scaffold	2715.72	42.4999	5803	29382	10	9	2012	Animals	Mammals
Brassica_rapa	GCA_000309985.1	Chromosome	284.129	35.826	40432	52553	14	7	2011	Plants	Land_Plants
Nematostella_vectensis	GCA_000209225.1	Scaffold	356.614	41.9	10804	24780	21	6	2007	Animals	Other_Animals
Cavia_porcellus	GCA_000151735.1	Scaffold	2723.22	40.1	3144	37362	4	11	2005	Animals	Mammals
Schmidtea_mediterranea	GCA_002600895.1	Scaffold	942.042	29.7	1990	0	18	10	2017	Animals	Flatworms
Notamacropus_eugenii	GCA_000004035.1	Scaffold	3075.18	40.4	277711	0	26	11	2008	Animals	Mammals
Echinops_telfairi	GCA_000313985.1	Scaffold	2947.02	43.6	8402	22926	16	8	2005	Animals	Mammals
Dasypus_novemcinctus	GCA_000208655.2	Scaffold	3631.52	41.5	46559	38178	14	5	2005	Animals	Mammals
Schistosoma_mansoni	GCA_000237925.2	Chromosome	364.538	35.2771	885	11713	3	10	2011	Animals	Flatworms
Schistosoma_japonicum	GCA_000151775.1	Scaffold	402.743	35.2	25048	0	18	3	2009	Animals	Flatworms
Trichinella_spiralis	GCA_000181795.2	Scaffold	63.5254	35.1	6863	16380	14	12	2007	Animals	Roundworms
Histoplasma_capsulatum_NAm1	GCA_000149585.1	Scaffold	33.0303	46.3	280	9313	19	9	2005	Fungi	Ascomycetes
Fasciola_hepatica	GCA_900302435.1	Scaffold	1203.65	44.2	2816	0	21	4	2018	Animals	Flatworms
Drosophila_ananassae	GCA_000005115.1	Scaffold	230.993	42.5	13749	21191	11	4	2006	Animals	Insects
Pristionchus_pacificus	GCA_000180635.3	Contig	154.958	42.8	134	24925	7	1	2009	Animals	Roundworms
Neospora_caninum_Liverpool	GCA_000208865.2	Chromosome	57.5474	54.8511	14	6934	2	3	2011	Protists	Apicomplexans
Leishmania_infantum_JPCM5	GCA_000002875.2	Chromosome	32.1221	59.5663	76	8150	4	4	2007	Protists	Kinetoplasts
Plasmodium_reichenowi	GCA_001601855.1	Chromosome	20.5017	19.8559	777	5279	28	3	2016	Protists	Apicomplexans
Drosophila_erecta	GCA_003286155.2	Contig	146.538	42.4	94	23135	2	7	2018	Animals	Insects
Drosophila_willistoni	GCA_000005925.1	Scaffold	235.516	37.8	14838	18834	21	4	2006	Animals	Insects
Caenorhabditis_japonica	GCA_000147155.1	Scaffold	166.256	39.9	18817	0	3	4	2008	Animals	Roundworms
Caenorhabditis_remanei	GCA_000149515.1	Scaffold	145.443	38.5	3670	31476	9	2	2005	Animals	Roundworms
Caenorhabditis_brenneri	GCA_000143925.2	Scaffold	190.37	39.7	3305	30670	17	7	2007	Animals	Roundworms
Blastomyces_dermatitidis_ER-3	GCA_000003525.2	Scaffold	66.6087	37.1	27	11539	19	2	2009	Fungi	Ascomycetes
Drosophila_grimshawi	GCA_000005155.1	Scaffold	200.468	38.8	17440	14986	11	4	2006	Animals	Insects
Trichomonas_vaginalis_G3	GCA_000002825.1	Scaffold	176.42	32.9	64769	59679	25	5	2005	Protists	Other_Protists
Drosophila_mojavensis	GCA_000005175.1	Scaffold	193.826	40.2	6841	20110	11	4	2006	Animals	Insects
Meloidogyne_hapla	GCA_000172435.1	Contig	53.013	27.4	3450	0	29	9	2008	Animals	Roundworms
Drosophila_virilis	GCA_000005245.1	Scaffold	206.027	40.7	13530	20548	11	4	2006	Animals	Insects
Drosophila_persimilis	GCA_003286085.2	Contig	195.513	45	432	20342	2	7	2018	Animals	Insects
Physarum_polycephalum	GCA_000413255.3	Scaffold	205.176	41.9	69687	0	14	6	2013	Protists	Other_Protists
Drosophila_sechellia	GCA_000005215.1	Scaffold	166.592	42.4982	14731	16484	28	9	2005	Animals	Insects
Naegleria_gruberi	GCA_000004985.1	Scaffold	40.9641	35	784	15711	23	12	2009	Protists	Other_Protists
Paramecium_tetraurelia	GCA_000165425.1	Scaffold	72.0945	28.2	697	39580	30	10	2006	Protists	Other_Protists
Meyerozyma_guilliermondii_ATCC_6260	GCA_000149425.1	Scaffold	10.61	43.8	9	5920	17	3	2005	Fungi	Ascomycetes
Acanthamoeba_castellanii_str._Neff	GCA_000313135.1	Scaffold	42.0198	57.8	384	14974	14	11	2012	Protists	Other_Protists
Clavispora_lusitaniae_ATCC_42720	GCA_000003835.1	Scaffold	12.1149	44.5	9	5936	16	3	2005	Fungi	Ascomycetes
Perkinsus_marinus_ATCC_50983	GCA_000006405.1	Scaffold	86.6051	47.4	17897	23654	27	2	2007	Protists	Other_Protists
Meloidogyne_incognita	GCA_900182535.1	Scaffold	183.532	0	12091	0	5	5	2017	Animals	Roundworms
Petromyzon_marinus	GCA_002833325.1	Scaffold	1130.42	44.4	12061	0	11	12	2017	Animals	Fishes
Daphnia_pulex	GCA_000187875.1	Scaffold	197.206	42.4	5186	30611	3	2	2011	Animals	Other_Animals
Phytophthora_infestans_T30-4	GCA_000142945.1	Scaffold	228.544	50.6	4921	17797	15	11	2006	Protists	Other_Protists
Blastocystis_hominis	GCA_000151665.1	Scaffold	18.8172	45.3	54	6020	2	7	2010	Protists	Other_Protists
Cyanophora_paradoxa	GCA_004431415.1	Contig	99.9404	63.4	712	0	5	2	2019	Protists	Other_Protists
Chaetomium_globosum_CBS_148.51	GCA_000143365.1	Scaffold	34.8869	55.4	37	11048	14	3	2005	Fungi	Ascomycetes
Euglena_gracilis_var._bacillaris	GCA_001638955.1	Contig	41.1958	50.3	105159	0	6	5	2016	Protists	Other_Protists
Oryctolagus_cuniculus	GCA_000003625.1	Chromosome	2737.46	44.0526	3318	38463	13	5	2005	Animals	Mammals
Lodderomyces_elongisporus_NRRL_YB-4239	GCA_000149685.1	Scaffold	15.5473	37	28	5799	10	8	2006	Fungi	Ascomycetes
Coccidioides_immitis_RS	GCA_000149335.2	Scaffold	29.016	46	7	9910	4	10	2004	Fungi	Ascomycetes
Rhizopus_oryzae_99-892	GCA_000697725.1	Scaffold	39.0638	35.4	1168	0	2	6	2014	Fungi	Other_Fungi
Trichoderma_reesei_QM6a	GCA_000167675.2	Scaffold	33.3957	52.8	77	9115	4	8	2005	Fungi	Ascomycetes
Uncinocarpus_reesii_1704	GCA_000003515.2	Scaffold	22.3497	48.6	45	7760	13	9	2005	Fungi	Ascomycetes
Pongo_abelii	GCA_002880775.3	Chromosome	3065.05	40.8623	5300	49721	16	1	2018	Animals	Mammals
Allomyces_macrogynus_ATCC_38327	GCA_000151295.1	Scaffold	57.0606	60.5	101	19447	21	1	2010	Fungi	Other_Fungi
Ichthyophthirius_multifiliis	GCA_000220395.1	Scaffold	48.8	15.95	2017	16112	11	7	2011	Protists	Other_Protists
Ancylostoma_caninum	GCA_003336725.1	Scaffold	465.734	37	25335	30198	21	7	2018	Animals	Roundworms
Paracoccidioides_brasiliensis_Pb18	GCA_000150735.2	Scaffold	29.9525	44.4	57	8390	20	3	2008	Fungi	Ascomycetes
Paxillus_involutus_ATCC_200175	GCA_000827475.1	Scaffold	58.3007	50	2681	17984	21	1	2015	Fungi	Basidiomycetes
Scheffersomyces_stipitis_CBS_6054	GCA_000209165.1	Chromosome	15.4412	41.162	8	7094	23	2	2007	Fungi	Ascomycetes
Komagataella_pastoris	GCA_001708105.1	Chromosome	9.59754	41.4761	11	5057	10	8	2016	Fungi	Ascomycetes
Pisolithus_microcarpus_441	GCA_000827275.1	Scaffold	53.0277	48.9	1064	20982	21	1	2015	Fungi	Basidiomycetes
Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3	GCA_000149925.1	Scaffold	88.7244	43.8	393	15979	22	1	2007	Fungi	Basidiomycetes
Saccharomyces_pastorianus_Weihenstephan_34/70	GCA_001515485.2	Scaffold	22.5009	39.1	495	0	13	1	2016	Fungi	Ascomycetes
Schizophyllum_commune_H4-8	GCA_000143185.1	Scaffold	38.482	57.4	36	13194	1	7	2010	Fungi	Basidiomycetes
Spizellomyces_punctatus_DAOM_BR117	GCA_000182565.2	Scaffold	24.1311	47.6	38	9422	3	9	2009	Fungi	Other_Fungi
Sterkiella_histriomuscorum	GCA_001273305.2	Contig	66.3686	28.4	32996	0	21	8	2015	Protists	Other_Protists
Ancylostoma_duodenale	GCA_000816745.1	Scaffold	332.876	42.7	69981	27483	8	1	2015	Animals	Roundworms
Ascaris_suum	GCA_000187025.3	Scaffold	298.028	37.7	415	0	28	1	2011	Animals	Roundworms
Helianthus_annuus	GCA_002127325.1	Chromosome	3027.84	38.911	1528	73839	8	5	2017	Plants	Land_Plants
Saccoglossus_kowalevskii	GCA_000003605.1	Scaffold	775.84	38.1	54120	22132	4	8	2009	Animals	Other_Animals
Aspergillus_flavus_NRRL3357	GCA_000006275.2	Scaffold	36.8923	48.3	331	13485	1	8	2005	Fungi	Ascomycetes
Lactuca_sativa	GCA_002870075.1	Scaffold	2384.19	38.6999	11453	45242	9	1	2018	Plants	Land_Plants
Trichoplax_adhaerens	GCA_000150275.1	Scaffold	105.632	34.5	1414	11520	13	6	2008	Animals	Other_Animals
Biomphalaria_glabrata	GCA_000457365.1	Scaffold	916.388	36.1998	331401	36675	9	8	2013	Animals	Other_Animals
Malus_domestica	GCA_002114115.1	Chromosome	703.358	39.3526	807	33	28	4	2017	Plants	Land_Plants
Cryptococcus_gattii_CA1873	GCA_000855695.1	Scaffold	17.4383	48	33	6634	10	2	2015	Fungi	Basidiomycetes
Canis_lupus_dingo	GCA_003254725.1	Scaffold	2439.83	41.4	2444	62946	18	6	2018	Animals	Mammals
Lemur_catta	GCA_004024665.1	Scaffold	2298.45	41.1	575427	0	15	1	2019	Animals	Mammals
Taeniopygia_guttata	GCA_000151805.2	Chromosome	1232.14	41.4526	37422	19447	3	9	2008	Animals	Birds
Oikopleura_dioica	GCA_000209535.1	Scaffold	70.4715	40.2	1260	17152	1	12	2010	Animals	Other_Animals
Ostreococcus_tauri	GCA_000214015.2	Chromosome	13.0328	59.1984	22	7766	15	10	2010	Plants	Green_Algae
Entamoeba_invadens_IP1	GCA_000330505.1	Scaffold	40.8783	30.3	1144	11997	11	2	2006	Protists	Other_Protists
Phaseolus_vulgaris	GCA_000499845.1	Chromosome	521.077	36.2199	708	32720	26	11	2013	Plants	Land_Plants
Ambystoma_mexicanum	GCA_002915635.2	Chromosome	32396.4	46.5211	98070	0	5	2	2018	Animals	Amphibians
Physcomitrella_patens	GCA_000002425.2	Chromosome	472.081	33.8892	359	48022	27	11	2007	Plants	Land_Plants
Prunus_persica	GCA_000346465.2	Chromosome	227.569	37.6659	192	32595	14	3	2013	Plants	Land_Plants
Culex_quinquefasciatus	GCA_000209185.1	Scaffold	579.042	38.1	3171	18883	19	4	2007	Animals	Insects
Papio_anubis	GCA_000264685.2	Chromosome	2959.37	41.0402	71135	66659	30	5	2012	Animals	Mammals
Crassostrea_virginica	GCA_002022765.4	Chromosome	684.741	34.8191	11	60213	7	3	2017	Animals	Other_Animals
Salmo_salar	GCA_000233375.4	Chromosome	2966.89	43.8912	241573	97738	25	10	2011	Animals	Fishes
Entamoeba_dispar_SAW760	GCA_000209125.2	Scaffold	30.6332	24.1	12258	8811	11	2	2006	Protists	Other_Protists
Secale_cereale	GCA_900079665.1	Scaffold	1684.93	46.7	1581707	0	23	11	2016	Plants	Land_Plants
Solanum_tuberosum	GCA_000226075.1	Scaffold	705.934	35.6005	14854	37966	24	5	2011	Plants	Land_Plants
Vitis_vinifera	GCA_000003745.2	Chromosome	486.197	35.0336	2061	41208	13	2	2007	Plants	Land_Plants
Ostreococcus_lucimarinus_CCE9901	GCA_000092065.1	Complete	13.2049	60.4431	21	7603	10	4	2007	Plants	Green_Algae
Selaginella_moellendorffii	GCA_000143415.2	Scaffold	212.315	45.3	757	45247	24	6	2010	Plants	Land_Plants
Galdieria_sulphuraria	GCA_000341285.1	Scaffold	13.712	37.9	433	7174	8	1	2013	Other	Other
Volvox_carteri_f._nagariensis	GCA_000143455.1	Scaffold	137.684	55.3	1251	14436	6	7	2010	Plants	Green_Algae
