map_id,ott_id,species_name,ref_id,map_length_cM,map_sex,map_length_female_cM,map_length_male_cM,n_markers,n_linkage_groups,haploid_chromosome_number,mapping_population_n,genome_size_mb,genome_size_id,genome_size_method,map_length_extrapolated_cM,rate_as_published_cM_per_Mb,qc_few_markers,qc_lg_hcn_mismatch,qc_duplicate_of_other_record,passes_2017_criteria,in_published_353,from_corbett_detig_2015,needs_reference,source_row,source_first_author,source_year
RM0044,ott710025,Astatotilapia burtoni,sanetra2009,1249.3,sex_averaged,,,204.0,25.0,20.0,167.0,948.66,GS0054,c_value,,,False,False,False,True,True,False,False,44,Sanetra,2009
RM0045,ott701518,Astyanax mexicanus,carlson2015,2110.7,sex_averaged,,,2235.0,25.0,25.0,170.0,1191.24,GS0056,estimate_unspecified,,,False,False,False,True,True,False,False,45,Carlson,2015
RM0046,ott106278,Athalia rosae,nishimori2000,517.2,sex_averaged,,,61.0,16.0,8.0,40.0,163.838,GS0058,estimate_unspecified,,,False,True,False,False,False,False,False,46,Nishimori,2000
RM0047,ott790381,Avena sativa,chaffin2016,2843.0,sex_averaged,,,7202.0,21.0,21.0,,12938.94,GS0060,c_value,,,False,False,False,True,True,False,False,47,Chafffin,2016
RM0048,ott227727,Bactrocera cucurbitae,sim2017,646.0,sex_averaged,,,944.0,5.0,5.0,166.0,373.0,GS0061,estimate_unspecified,,,False,False,False,True,True,False,False,48,Sim,2017
RM0049,ott35910,Barbarea vulgaris,kuzina2011,889.0,sex_averaged,,,131.0,8.0,8.0,129.0,167.352,GS0062,assembly_or_direct,,,False,False,False,True,True,False,False,49,Kuzina,2011
RM0050,ott434483,Begonia plebeja,brennan2012,1099.0,sex_averaged,,,225.0,14.0,14.0,255.0,616.14,GS0064,estimate_unspecified,,,False,False,False,True,True,False,False,50,Brennan,2012
RM0051,ott273185,Beta vulgaris,laurent2007,555.0,sex_averaged,,,284.0,9.0,9.0,92.0,1222.5,GS0066,estimate_unspecified,,,False,False,False,True,True,False,False,51,Laurent,2007
RM0052,ott267719,Betula pendula,jiang2010,2489.7,sex_averaged,,,226.0,23.0,14.0,80.0,1369.2,GS0067,c_value,3097.2,1.008,False,False,False,True,True,False,False,52,Jiang,2011
RM0053,ott731671,Betula platyphylla,jiang2010,2864.5,sex_averaged,,,226.0,24.0,14.0,80.0,,,,3552.7,86.2,False,True,False,False,False,False,False,53,Jiang,2011
RM0054,ott559934,Bicyclus anynana,beldade2009,1642.2,sex_averaged,,,297.0,27.0,28.0,288.0,479.22,GS0068,c_value,,,False,False,False,True,True,False,False,54,Beldade,2009
RM0055,ott907693,Bison bison,schnabel2003,2647.0,sex_averaged,,,292.0,29.0,30.0,,4792.2,GS0070,c_value,,,False,False,False,True,True,False,False,55,Schnabel,2003
RM0056,ott968114,Biston betularia,vanthof2012,1638.0,sex_averaged,,,227.0,31.0,31.0,73.0,500.0,GS0071,assembly_or_direct,,,False,False,False,True,True,False,False,56,VantHof,2013
RM0057,ott555363,Blumeria graminis,pedersen2002,2114.0,sex_averaged,,,359.0,34.0,,81.0,118.726,GS0073,estimate_unspecified,,,False,False,False,,False,False,False,57,Pedersen,2002
RM0058,ott594991,Boehmeria nivea,liu2014,2265.1,sex_averaged,,,142.0,18.0,14.0,147.0,716.0,GS0074,assembly_or_direct,,,False,False,False,True,True,False,False,58,Liu,2014
RM0059,ott161197,Bombus terrestris,stolle2011,2047.0,sex_averaged,,,516.0,18.0,18.0,,518.34,GS0076,c_value,,4.4,False,False,False,True,True,False,False,59,Stolle,2011
RM0060,ott440274,Bombyx mori,zhan2009a,685.25,sex_averaged,,,1604.0,,28.0,,513.45,GS0078,c_value,,1.49298365007623,False,False,False,,False,True,False,60,Corbet-Detig,2015
RM0061,ott440274,Bombyx mori,zhan2009a,3320.0,sex_averaged,,,692.0,27.0,28.0,,513.45,GS0078,c_value,,,False,False,False,True,True,False,False,61,Zhan,2009
RM0062,ott490099,Bos taurus,ihara2004,3097.366,sex_averaged,,,5499.0,,31.0,,3537.1,GS0081,c_value,,1.26304440926021,False,False,False,,False,True,False,62,Corbet-Detig,2015
RM0063,ott490099,Bos taurus,ihara2004,3159.1,sex_averaged,,,3960.0,29.0,31.0,,3537.1,GS0082,estimate_unspecified,,29.0,False,False,False,True,True,False,False,63,Ihara,2004
RM0064,ott413237,Brachypodium distachyon,huo2011,1598.0,sex_averaged,,,556.0,,5.0,,352.08,GS0084,estimate_unspecified,,6.01348055256947,False,False,False,,False,True,False,64,Corbet-Detig,2015
RM0065,ott41113,Bracon hebetor,holloway2000,536.1,sex_averaged,,,71.0,10.0,10.0,159.0,165.0,GS0085,estimate_unspecified,,,False,False,False,True,True,False,False,65,Holloway,2001
RM0066,ott240937,Brassica campestris,cheng2009,973.3,sex_averaged,,,268.0,10.0,10.0,,567.24,GS0086,estimate_unspecified,,,False,False,False,True,True,False,False,66,Cheng,2009
RM0067,ott749459,Brassica carinata,zou2014,2048.0,sex_averaged,,,1366.0,17.0,17.0,,1545.24,GS0087,estimate_unspecified,,,False,False,False,True,True,False,False,67,Zou,2014
RM0068,ott309279,Brassica juncea,zou2016,1579.0,sex_averaged,,,3329.0,18.0,18.0,,1496.34,GS0089,estimate_unspecified,,,False,False,False,True,True,False,False,68,Zou,2016
RM0069,ott309234,Brassica napus,zhang2016a,1917.9,sex_averaged,,,1826.0,19.0,19.0,202.0,1124.7,GS0091,estimate_unspecified,,,False,False,False,True,True,False,False,69,Zhang,2016
RM0070,ott833642,Brassica oleracea,zhao2016a,890.01,sex_averaged,,,2741.0,8.0,9.0,,762.8,GS0093,c_value,,2.11,False,False,False,True,True,False,False,70,Zhao,2016
RM0071,ott833632,Brassica rapa,yu2016,858.98,sex_averaged,,,3688.0,10.0,10.0,,782.4,GS0095,estimate_unspecified,,,False,False,False,True,True,False,False,71,Yu,2016
RM0072,ott395053,Caenorhabditis briggsae,ross2011,484.4527,sex_averaged,,,,,6.0,,108.384,GS0097,estimate_unspecified,,6.13822501209931,False,False,False,,False,True,False,72,Corbet-Detig,2015
RM0073,ott395048,Caenorhabditis elegans,yook2011,233.287,sex_averaged,,,5220.0,,6.0,,100.286,GS0099,estimate_unspecified,,2.83413845735893,False,False,False,,False,True,False,73,Corbet-Detig,2015
RM0074,ott612448,Cajanus cajan,bohra2012,1059.0,sex_averaged,,,339.0,11.0,11.0,188.0,860.64,GS0101,estimate_unspecified,,,False,False,False,True,True,False,False,74,Bohra,2012
RM0075,ott615108,Callitris glaucophylla,sakaguchi2015,5362.0,sex_averaged,,,7565.0,11.0,11.0,55.0,,,,,,False,False,False,True,False,False,False,75,Sakaguchi,2015
RM0076,ott776348,Camelina sativa,gehringer2006,1385.6,sex_averaged,,,160.0,20.0,20.0,,641.356,GS0103,estimate_unspecified,,,False,False,False,True,True,False,False,76,Gehringer,2006
RM0077,ott1058509,Camellia sinensis,taniguchi2012,1218.0,sex_averaged,,,1124.0,15.0,15.0,,3814.2,GS0104,c_value,,0.354,False,False,False,True,True,False,False,77,Taniguchi,2012
RM0078,ott247341,Canis lupus,wong2010,2084.8,sex_averaged,,,3065.0,,39.0,,2748.18,GS0106,c_value,,0.970384921355155,False,False,False,,False,True,False,78,Corbet-Detig,2015
RM0079,ott247341,Canis lupus,wong2010,2085.1,sex_averaged,2387.7,1910.0,3549.0,39.0,39.0,,2748.18,GS0106,c_value,,0.97,False,False,False,True,True,False,False,79,Wong,2010
RM0080,ott19017,Capra hircus,schibler1998,2737.0,sex_averaged,,,284.0,40.0,30.0,430.0,3168.72,GS0108,c_value,3100.0,,False,False,False,True,True,False,False,80,Schibler,1998
RM0081,ott833644,Capsella bursa-pastoris,linde2001,1064.4,sex_averaged,,,114.0,17.0,16.0,113.0,391.2,GS0110,c_value,,,False,False,False,True,True,False,False,81,Linde,2001
RM0082,ott19798,Capsella rubella,slotte2012,381.82633647,sex_averaged,,,877.0,,8.0,,215.16,GS0112,estimate_unspecified,,3.21595887311511,False,False,False,,False,True,False,82,Corbet-Detig,2015
RM0083,ott473836,Capsicum annuum,han2016,1372.0,sex_averaged,,,2578.0,12.0,12.0,120.0,3090.48,GS0114,estimate_unspecified,,,False,False,False,True,True,False,False,83,Han,2016
RM0084,ott232458,Capsicum baccatum,lee2016,1056.0,sex_averaged,,,395.0,12.0,12.0,94.0,3628.38,GS0115,estimate_unspecified,,,False,False,False,True,True,False,False,84,Lee,2016
RM0085,ott1005907,Carassius auratus,kuang2016,5252.0,sex_averaged,,,8521.0,50.0,50.0,79.0,1643.04,GS0116,estimate_unspecified,,,False,False,False,True,True,False,False,85,Kuang,2016
RM0086,ott429474,Carica papaya,chen2007,1069.9,sex_averaged,,,707.0,12.0,18.0,54.0,372.0,GS0118,c_value,,1.526,False,False,False,True,True,False,False,86,Chen,2007
RM0087,ott1061541,Carthamus tinctorius,bowers2016,959.44,sex_averaged,,,57388.0,12.0,12.0,96.0,1369.2,GS0120,estimate_unspecified,,,False,False,False,True,True,False,False,87,Bowers,2016
RM0088,ott540978,Castanea mollissima,kubisiak2012,743.0,sex_averaged,,,1393.0,12.0,12.0,337.0,833.241,GS0122,estimate_unspecified,,,False,False,False,True,True,False,False,88,Kubisiak,2013
RM0089,ott524094,Catharanthus roseus,sharma2012,1790.4,sex_averaged,,,564.0,8.0,6.0,187.0,2376.5,GS0124,c_value,,0.488,False,False,False,True,True,False,False,89,Sharma,2011
RM0090,ott780217,Ceratopteris richardii,nakazato2006,2178.8,sex_averaged,,,729.0,41.0,39.0,,11294.0,GS0125,estimate_unspecified,2450.9,4.6,False,False,False,True,True,False,False,90,Nakazato,2006
RM0091,ott936014,Cervus elaphus,johnston2017,2739.7,sex_averaged,2767.4,2280.8,38038.0,34.0,34.0,2880.0,,,,,,False,False,False,True,False,False,False,91,Johnston,2017
RM0092,ott117198,Chenopodium quinoa,maughan2012,1404.0,sex_averaged,,,14689.0,20.0,18.0,,1447.44,GS0127,estimate_unspecified,,,False,False,False,True,True,False,False,92,Maughan,2012
RM0093,ott324777,Chimonanthus praecox,chen2010a,1801.0,sex_averaged,2417.8,1184.2,84.0,12.0,11.0,,600.0,GS0620,other_literature,,,False,False,False,True,True,False,False,93,Chen,2010
RM0094,ott33153,Chlamydomonas reinhardtii,kathir2003,1000.0,sex_averaged,,,264.0,17.0,17.0,,120.405,GS0129,estimate_unspecified,,,False,False,False,True,True,False,False,94,Kathir,2003
RM0095,ott56422,Chlamys farreri,zhan2009b,1561.8,sex_averaged,,,154.0,19.0,19.0,,1244.016,GS0130,c_value,,,False,False,False,True,True,False,False,95,Zhan,2009
RM0096,ott1002218,Chlamys noblis,yuan2010,1608.8,sex_averaged,1698.6,1519.0,117.0,16.0,16.0,,,,,,,False,False,False,True,False,False,False,96,Yuan,2010
RM0097,ott3899190,Chrysanthemum morifolium,zhang2010,2873.0,sex_averaged,,,342.0,55.0,27.0,142.0,8635.74,GS0131,estimate_unspecified,,,False,True,False,False,False,False,False,97,Zhang,2011
RM0098,ott612429,Cicer arietinum,gaur2015,1083.93,sex_averaged,,,6714.0,8.0,8.0,,929.1,GS0133,estimate_unspecified,,,False,False,False,True,True,False,False,98,Gaur,2015
RM0099,ott744224,Ciona intestinalis,kano2006,4218.9,sex_averaged,,,276.0,14.0,14.0,50.0,150.0,GS0621,other_literature,6199.8,,False,False,False,True,True,False,False,99,Kano,2007
RM0100,ott677382,Ciona savignyi,hill2008,650.0,sex_averaged,,,110.0,14.0,14.0,48.0,170.0,GS0622,other_literature,783.0,200.0,False,False,False,True,True,False,False,100,Hill,2008
RM0101,ott1006251,Citrullus lanatus,reddy2014,799.3,sex_averaged,,,922.0,,11.0,,440.1,GS0135,estimate_unspecified,,2.45310944819569,False,False,False,,False,True,False,101,Corbet-Detig,2015
RM0102,ott1006251,Citrullus lanatus,reddy2014,1096.0,sex_averaged,,,10480.0,11.0,11.0,,440.1,GS0134,other_literature,,,False,False,False,True,True,False,False,102,Reddy,2014
RM0103,ott236255,Citrus clementina,ollitrault2012,1084.08,sex_averaged,,,517.0,,9.0,,469.44,GS0139,estimate_unspecified,,3.82954812967632,False,False,False,,False,True,False,103,Corbet-Detig,2015
RM0104,ott236255,Citrus clementina,ollitrault2012,1084.1,sex_averaged,,,961.0,9.0,9.0,,301.365,GS0141,estimate_unspecified,,,False,False,False,True,True,False,False,104,Ollitrault,2012
RM0105,ott3942433,Citrus sinensis,guo2015a,976.58,sex_averaged,,,1563.0,9.0,9.0,124.0,490.956,GS0143,c_value,,5.236,False,False,False,True,True,False,False,105,Guo,2015
RM0106,ott1011450,Citrus unshiu,,990.9,sex_averaged,,,706.0,9.0,9.0,87.0,,,,,,False,False,False,True,False,False,True,106,Shimada,2014
RM0107,ott192116,Clunio marinus,kaiser2012,179.65,sex_averaged,167.2,192.1,344.0,3.0,3.0,54.0,95.0,GS0146,estimate_unspecified,,,False,False,False,True,True,False,False,107,Kaiser,2012
RM0108,ott4930749,Cochliobus sativus,zhong2002,849.4,sex_averaged,,,158.0,27.0,15.0,104.0,33.4,GS0147,estimate_unspecified,1329.0,25.0,False,True,False,False,False,False,False,108,Zhong,2002
RM0109,ott366250,Cocos nucifera,riedel2008,2739.0,sex_averaged,,,704.0,16.0,16.0,94.0,3107.106,GS0148,c_value,,1.138,False,False,False,True,True,False,False,109,Riedel,2009
RM0110,ott1001050,Coffea arabica,moncada2015,3800.0,sex_averaged,,,848.0,22.0,22.0,278.0,1173.6,GS0149,estimate_unspecified,,,False,False,False,True,True,False,False,110,Moncada,2016
RM0111,ott5304351,Coprinus cinereus,muraguchi2003,1346.0,sex_averaged,,,219.0,13.0,13.0,40.0,37.5,GS0623,other_literature,,37.5,False,False,False,True,True,False,False,111,Muraguchi,2003
RM0112,ott679189,Corchorus capsularis,biswas2015,2016.0,sex_averaged,,,705.0,9.0,7.0,,586.8,GS0151,estimate_unspecified,,,False,False,False,True,True,False,False,112,Biswass,2015
RM0113,ott578269,Corchorus olitorius,kundu2015,358.5,sex_averaged,,,503.0,7.0,7.0,,909.54,GS0153,estimate_unspecified,,0.72,False,False,False,True,True,False,False,113,Kundu,2015
RM0114,ott629345,Coregonus clupeaformis,gagnaire2012,3061.0,sex_averaged,,,3438.0,40.0,40.0,102.0,2386.32,GS0154,c_value,,,False,False,False,True,True,False,False,114,Gagnaire,2013
RM0115,ott148264,Cornus florida,wang2008a,1175.0,sex_averaged,,,255.0,11.0,7.0,94.0,1545.24,GS0155,c_value,,,False,False,False,True,True,False,False,115,Wang,2009
RM0116,ott803622,Coturnix japonica,kikuchi2005,2816.0,sex_averaged,,,1735.0,21.0,32.0,,1320.3,GS0157,c_value,,,False,False,False,True,True,False,False,116,Kikuchi,2005
RM0117,ott987409,Crassostrea gigas,hedgecock2015,588.0,sex_averaged,,,1166.0,10.0,10.0,,557.736,GS0159,estimate_unspecified,,,False,False,False,True,True,False,False,117,Hedgecock,2015
RM0118,ott365708,Crassostrea virginica,yu2003,905.0,sex_averaged,1091.6,718.4,84.0,12.0,10.0,81.0,675.0,GS0624,other_literature,1077.0,1.6,False,False,False,True,True,False,False,118,Yu,2003
RM0119,ott35872,Crocodylus porosus,miles2009,1071.55,sex_averaged,1824.1,319.0,180.0,14.0,17.0,,2049.54,GS0160,assembly_or_direct,,,False,False,False,True,True,False,False,119,Miles,2009
RM0120,ott48333,Cryptococcus neoformans,marra2004,1500.0,sex_averaged,,,301.0,20.0,14.0,94.0,19.0519,GS0161,assembly_or_direct,,,False,False,False,True,True,False,False,120,Marra,2004
RM0121,ott620749,Cryptomeria japonica,moriguchi2016,1266.2,sex_averaged,,,2560.0,11.0,11.0,,10758.0,GS0163,c_value,,1.087,False,False,False,True,True,False,False,121,Moriguchi,2016
RM0122,ott1005936,Ctenopharyngodon idella,xia2010,1176.1,sex_averaged,1149.4,888.8,263.0,24.0,24.0,192.0,1004.54571428571,GS0164,c_value,,0.868,False,False,False,True,True,False,False,122,Xia,2010
RM0123,ott1006256,Cucumis melo,diaz2011,1150.0,sex_averaged,,,1592.0,12.0,12.0,,929.1,GS0166,c_value,,1.781,False,False,False,True,True,False,False,123,Diaz,2011
RM0124,ott1006246,Cucumis sativus,zhu2016,707.8,sex_averaged,,,508.0,,7.0,,195.669,GS0168,estimate_unspecified,,3.75161769961923,False,False,False,,False,True,False,124,Corbet-Detig,2015
RM0125,ott1006246,Cucumis sativus,zhu2016,1061.19,sex_averaged,,,7532.0,7.0,7.0,153.0,195.669,GS0168,estimate_unspecified,,,False,False,False,True,True,False,False,125,Zhu,2016
RM0126,ott379272,Cucurbita maxima,zhang2015a,2533.8,sex_averaged,,,458.0,20.0,20.0,188.0,449.88,GS0169,estimate_unspecified,,,False,False,False,True,True,False,False,126,Zhang,2015
RM0127,ott84409,Cucurbita moschata,gong2008,1936.0,sex_averaged,,,659.0,20.0,20.0,94.0,420.54,GS0170,estimate_unspecified,,,False,False,False,True,True,False,False,127,Gong,2008
RM0128,ott379282,Cucurbita pepo,monteropau2017,2817.6,sex_averaged,,,7718.0,21.0,20.0,120.0,537.9,GS0171,c_value,,3.601,False,False,False,True,True,False,False,128,Montero-Pau,2017
RM0129,ott218684,Culex pipiens,hickner2013,189.9,sex_averaged,,,61.0,3.0,3.0,,684.6,GS0172,c_value,,,False,False,False,True,True,False,False,129,Hickner,2013
RM0130,ott204596,Culex tarsalis,venkatesan2009,510.0,sex_averaged,,,31.0,4.0,3.0,120.0,,,,,,True,False,False,False,False,False,False,130,Venkatesan,2009
RM0131,ott746120,Cyanistes caeruleus,hansson2009,935.0,sex_averaged,,,98.0,18.0,39.0,525.0,1437.66,GS0173,c_value,,,False,False,False,True,True,False,False,131,Hansson,2010
RM0132,ott991885,Cynara cardunculus,portis2009,1251.15,sex_averaged,1486.8,1015.5,177.0,17.0,17.0,,1075.8,GS0174,c_value,,1.232,False,False,False,True,True,False,False,132,Portis,2009
RM0133,ott927435,Cynodon dactylon,harrisshultz2010,311.1,sex_averaged,,,36.0,8.0,9.0,118.0,1110.03,GS0175,estimate_unspecified,,,True,False,False,False,False,False,False,133,Harris-Shultz,2010
RM0134,ott927435,Cynodon dactylon,harrisshultz2010,1055.0,sex_averaged,,,125.0,26.0,18.0,118.0,1110.03,GS0175,estimate_unspecified,,,False,False,False,True,True,False,False,134,Harris-Shultz,2010
RM0135,ott906506,Cynoglossus semilaevis,song2012,1620.4,sex_averaged,1447.3,1497.5,352.0,,21.0,,606.36,GS0177,estimate_unspecified,,4.25500500215174,False,False,False,,False,True,False,135,Corbet-Detig,2015
RM0136,ott906506,Cynoglossus semilaevis,song2012,1624.0,sex_averaged,,,1007.0,21.0,21.0,94.0,606.36,GS0177,estimate_unspecified,,,False,False,False,True,True,False,False,136,Song,2012
RM0137,ott429083,Cyprinus carpio,zhao2013a,3565.9,sex_averaged,,,1209.0,50.0,50.0,107.0,1741.9158,GS0178,c_value,,,False,False,False,True,True,False,False,137,Zhao,2013
