source_row,species,si_first_author_in_data,year_in_data,si_ref_number,ref_id,doi,needs_reference
314,Ovis_canadensis,Poissant,2010,236.0,poissant2010,10.1186/1471-2164-11-524,False
315,Pagellus_erythrinus,Manousaki,2016,,,,True
316,Panicum_virgatum,Liu,2012,237.0,liu2012a,10.1534/g3.111.001503,False
317,Papilio_glaucus,Winter,2010,238.0,winter2009,10.1093/jhered/esp067,False
318,Papio_anubis,Corbet-Detig,2015,,,,True
319,Papio_hamadryas,Rogers,2006,239.0,cox2006,10.1016/j.ygeno.2006.03.020,False
320,Paralichthys_olivaceus,Song,2012,240.0,liu2013b,10.1111/jfb.12014,False
321,Parus_major,vanOers,2014,241.0,vanoers2013,10.1038/hdy.2013.107,False
322,Patinopecten_yessoensis,Wang,2017,242.0,wang2017b,10.1038/s41559-017-0120,False
323,Penaeus_chinensis,Liu,2010,,,,True
324,Penaeus_monodon,Baranski,2014,243.0,baranski2014,10.1371/journal.pone.0085413,False
325,Pennisetum_glaucum,Punnuri,2016,244.0,punnuri2016,10.3835/plantgenome2015.10.0106,False
326,Perisoreus_infaustus,Jaari,2009,,,,True
327,Peromyscus_maniculatus,Kenney-Hunt,2014,245.0,kenneyhunt2014,10.1007/s00335-014-9500-8,False
328,Persea_americana,Borrone,2009,246.0,borrone2009,,False
329,Petunia_axillaris,Bossolini,2011,247.0,bossolini2011,10.1139/g10-116,False
330,Phaeosphaeria_nodorum,Malkus,2009,248.0,malkus2009,10.1007/s10658-009-9454-y,False
331,Phalloceros_caudimaculatus,Gutierrez,2011,249.0,gutierrez2011,10.1007/s12041-011-0085-7,False
332,Phaseolus_vulgaris,Song,2015,250.0,song2015,10.1534/g3.115.020594,False
333,Philomachus_pugnax,Farrell,2013,,,,True
334,Phoenix_dactylifera,Mathew,2014,251.0,mathew2014,10.1186/1471-2164-15-285,False
335,Phycomyces_blakesleeanus,Chaudhary,2013,,,,True
336,Physcomitrella_patens,Kamisugi,2008,252.0,kamisugi2008,10.1111/j.1365-313x.2008.03637.x,False
337,Phytophthora_capsici,Lamour,2012,,,,True
338,Phytophthora_infestans,vanderLee,2004,253.0,vanderlee2004,10.1534/genetics.104.029652,False
339,Picea_abies,Lind,2014,254.0,lind2014,10.1371/journal.pone.0101049,False
340,Picea_glauca,Gosselin,2002,,,,True
341,Picea_mariana,Kang,2011,,,,True
342,Pinctada_martensii,Shi,2009,,,,True
343,Pinctada_maxima,Jones,2013,,,,True
344,Pinus_balfouriana,Friesline,2015,255.0,friedline2015,10.1007/s11295-015-0866-x,False
345,Pinus_elliottii,Yang,2013,256.0,yang2013,10.1007/s00468-013-0890-0,False
346,Pinus_koraiensis,Chen,2010,257.0,chen2010b,10.1007/s00468-010-0438-5,False
347,Pinus_lambertiana,Jermstad,2011,258.0,jermstad2010,10.1007/s11295-010-0347-1,False
348,Pinus_massoniana,Chen,2014,259.0,chen2014a,10.1515/sg-2014-0001,False
349,Pinus_pinaster,Chancerel,2013,260.0,chancerel2013,10.1186/1741-7007-11-50,False
350,Pinus_radiata,Moraga-Suazo,2014,261.0,moragasuazo2014,10.1007/s00468-014-1090-2,False
351,Pinus_sylvestris,Lind,2007,,,,True
352,Pinus_taeda,Westbrook,2015,262.0,westbrook2015,10.1534/g3.115.019588,False
353,Pistacia_vera,Turkeli,2013,,,,True
354,Pisum_sativum,Boutet,2016,263.0,boutet2016,10.1186/s12864-016-2447-2,False
355,Plasmodium_chabaudi,Martinello,2005,264.0,martinello2005,,False
356,Plasmodium_falciparum,Jiang,2011,265.0,jiang2011,10.1186/gb-2011-12-4-r33,False
357,Plasmodium_yoelii,Li,2011,,,,True
358,Pleurotus_eryngii,Im,2016,,,,True
359,Pleurotus_pulmonarius,Okuda,2009,,,,True
360,Poecilia_reticulata,Tripathi,2009,266.0,tripathi2009,10.1098/rspb.2008.1930,False
361,Pogonomyrmex_rugosus,Sirvio,2011,267.0,sirvio2010,10.1111/j.1558-5646.2010.01170.x,False
362,Populus_adenopoda,Wang,2010,268.0,wang2009c,10.1007/s10681-009-0085-3,False
363,Populus_alba,Paolucci,2010,269.0,paolucci2010,10.1007/s11295-010-0297-7,False
364,Populus_deltoides,Mousavi,2016,270.0,mousavi2016,10.1186/s12864-016-3003-9,False
365,Populus_fremontii,Woolbright,2008,,,,True
366,Populus_nigra,Gaudet,2008,271.0,gaudet2008,,False
367,Populus_simonii,Mousavi,2016,,,,True
368,Populus_tremula,Pakull,2009,272.0,pakull2009,10.1007/s11295-009-0204-2,False
369,Populus_trichocarpa,Corbet-Detig,2015,,,,True
370,Portunus_trituberculatus,Liu,2012,273.0,liu2012b,10.1016/j.aquaculture.2012.01.034,False
371,Primulina_eburnea,Feng,2016,274.0,feng2016,10.1007/s12041-016-0650-1,False
372,Pristionchus_pacificus,Srinivasan,2002,275.0,srinivasan2002,10.1093/genetics/162.1.129,False
373,Prunus_armeniaca,Lalli,2008,276.0,lalli2008,10.1007/s11295-007-0125-x,False
374,Prunus_avium,Wang,2015,277.0,wang2015a,10.1371/journal.pone.0141261,False
375,Prunus_dulcis,Tavassolian,2010,278.0,tavassolian2010,,False
376,Prunus_kansuensis,Cao,2011,279.0,cao2011,10.21273/jashs.136.3.190,False
377,Prunus_mume,Zhang,2015,280.0,zhang2015b,10.1093/dnares/dsv003,False
378,Prunus_persica,Corbet-Detig,2015,281.0,nunezlillo2015,10.1007/s11295-015-0911-9,False
379,Prunus_persica,Nunez-Lillo,2015,281.0,nunezlillo2015,10.1007/s11295-015-0911-9,False
380,Prunus_virginiana,Wang,2014,,,,True
381,Pseudocercospora_fijiensis,Arango_Isaza,2016,282.0,arangoisaza2016,10.1371/journal.pgen.1005876,False
382,Pseudotsuga_menziesii,Ukrainetz,2008,,,,True
383,Pungitius_pungitius,Rastas,2016,,,,True
384,Punica_granatum,Harel-Beja,2015,283.0,sarkhosh2012,10.1080/14620316.2012.11512821,False
385,Pyrenophora_teres,Ellwood,2010,,,,True
386,Pyropia_haitanensis,Xu,2015,,,,True
387,Pyrus_communis,Wu,2014,284.0,wu2014,10.1093/jxb/eru311,False
388,Pyrus_pyrifolia,Yamamoto,2014,,,,True
389,Pyrus_x,Chen,2015,,,,True
390,Quercus_,Bodenes,2016,285.0,bodenes2016,10.1093/dnares/dsw001,False
391,Rana_temporaria,Cano,2011,286.0,cano2011,10.1038/hdy.2011.39,False
392,Raphanus_sativus,Mun,2015,287.0,mun2014,10.1007/s00122-014-2426-4,False
393,Rattus_norvegicus,Steen,1999,288.0,steen1999,10.1101/gr.9.6.ap1,False
394,Rhyzopertha_dominica,Schlipallus,2002,289.0,schlipalius2002,10.1093/genetics/161.2.773,False
395,Ribes_nigrum,Russell,2014,,,,True
396,Ricinus_communis,Rukam,2016,290.0,rukam2016,,False
397,Rosa_hybrida,Bourke,2017,,,,True
398,Rubus_idaeus,Ward,2013,291.0,ward2013,10.1186/1471-2164-14-2,False
399,Rubus_occidentalis,Bushakra,2012,292.0,bushakra2012,10.1007/s00122-012-1835-5,False
400,Ruditapes_philippinarum,Nie,2017,293.0,nie2017,10.1038/s41598-017-00246-0,False
401,Saccharina_japonica,Zhang,2015,294.0,zhang2015c,10.1186/s12864-015-1371-1,False
402,Saccharum_spp,Liu,2016,,,,True
403,Salmo_salar,Tsai,2016,295.0,tsai2016,10.1534/g3.116.029009,False
404,Salmo_trutta,Leitwein,2017,296.0,leitwein2017,10.1534/g3.116.038497,False
405,Salvia_miltiorrhiza,Liu,2016,297.0,liu2016c,10.1038/srep24070,False
406,Schistosoma_mansoni,Criscione,2009,298.0,criscione2009,10.1186/gb-2009-10-6-r71,False
407,Sciaenops_ocellatus,Hollenbeck,2015,299.0,hollenbeck2015,10.1016/j.aquaculture.2014.08.045,False
408,Scleropages_formosus,Shen,2014,300.0,shen2014,10.1111/1755-0998.12212,False
409,Scophthalmus_maximus,Wang,2015,301.0,wang2015b,10.1371/journal.pone.0120410,False
410,Scophthalmus_rhombus,Hermida,2014,,,,True
411,Scylla_paramamosain,Ma,2016,302.0,ma2016,10.4238/gmr.15026929,False
412,Sebastes_schlegelii,Chu,2014,,,,True
413,Secale_cereale,Milczarski,2015,303.0,milczarski2016,10.1007/s13353-016-0347-4,False
414,Seriola_quinqueradiata,Aoki,2015,304.0,aoki2015,10.1186/s12864-015-1600-7,False
415,Sesamum_indicum,Zhang,2016,305.0,zhang2016b,10.1038/srep31556,False
416,Setaria_italica,Fang,2016,306.0,fang2016,10.1186/s12864-016-2628-z,False
417,Setaria_italica,Corbet-Detig,2015,306.0,fang2016,10.1186/s12864-016-2628-z,False
418,Silene_latifolia,Bergero,2013,307.0,bergero2013,10.1534/genetics.113.150755,False
419,Sinapis_alba,Javidfar,2013,308.0,javidfar2013,10.1186/1471-2229-13-142,False
420,Siraitia_grosvenorii,Liu,2011,,,,True
421,Solanum_bulbocastanum,Iorizzo,2014,,,,True
422,Solanum_habrochaites,Geethanjali,2011,,,,True
423,Solanum_lycopersicum,Viquez-Zamora,2014,309.0,viquezzamora2014,10.1186/1471-2164-15-1152,False
424,Solanum_melongena,Fukuoka,2012,310.0,fukuoka2012,10.1007/s00122-012-1815-9,False
425,Solanum_pennellii,vandenOever-vandenElsen,2016,311.0,vandenoevervandenelsen2016,10.1111/jipb.12449,False
426,Solanum_pimpinellifolium,Chen,2014,312.0,chen2014b,10.1371/journal.pone.0096417,False
427,Solanum_tuberosum,Endelman,2016,313.0,endelman2016,10.1007/s00122-016-2673-7,False
428,Solea_senegalensis,Molina-Luzon,2015,,,,True
429,Solea_solea,Diopere,2014,,,,True
430,Sorghum_bicolor,Corbet-Detig,2015,314.0,ji2017,10.1186/s12864-016-3430-7,False
431,Sorghum_bicolor,Ji,2017,314.0,ji2017,10.1186/s12864-016-3430-7,False
432,Spartina_pectinata,Crawford,2016,,,,True
433,Sparus_aurata,Palaiokostas,2016,315.0,palaiokostas2016,10.1534/g3.116.035220,False
434,Spinacia_oleracea,Chan-Navarrete,2016,316.0,channavarrete2015,10.1007/s10681-015-1618-6,False
435,Strongyloides_ratti,Nemetschke,2010,317.0,nemetschke2010,10.1016/j.molbiopara.2009.10.008,False
436,Struthio_camelus,Huang,2008,,,,True
437,Suncus_murinus,Adjei,2008,,,,True
438,Sus_scrofa,Corbet-Detig,2015,318.0,tortereau2012,10.1186/1471-2164-13-586,False
439,Sus_scrofa,Tortereau,2012,318.0,tortereau2012,10.1186/1471-2164-13-586,False
440,Taeniopygia_guttata,Backstrom,2010,319.0,backstrom2010,10.1101/gr.101410.109,False
441,Takifugu_rubripes,Kai,2005,320.0,kai2011,10.1093/gbe/evr041,False
442,Taraxacum_koksaghyz,Arias,2016,321.0,arias2016,10.1038/srep31031,False
443,Taxodium_mucronatum,Wang,2016,,,,True
444,Theileria_parva,Katzer,2011,,,,True
445,Theobroma_cacao,Royaert,2016,322.0,royaert2016,10.1186/s12864-016-2415-x,False
446,Thunnus_orientalis,Uchino,2016,323.0,uchino2016,10.4236/abb.2016.72010,False
447,Tigriopus_californicus,Foley,2011,324.0,foley2011,10.1186/1471-2164-12-568,False
448,Torreya_grandis,Zeng,2014,,,,True
449,Toxoplasma_gondii,Khan,2005,,,,True
450,Tribolium_castaneum,Lorenzen,2005,325.0,lorenzen2005,10.1534/genetics.104.032227,False
451,Tribolium_confusum,Yezerski,2003,326.0,yezerski2003,10.1046/j.1365-2583.2003.00438.x,False
452,Trichogramma_brassicae,Laurent,1998,327.0,laurent1998,10.1093/genetics/150.1.275,False
453,Trifolium_pratense,Hirakawa,2016,328.0,hirakawa2016,,False
454,Trifolium_repens,Griffiths,2013,329.0,griffiths2013,10.1186/1471-2164-14-388,False
455,Trifolium_subterraneum,Ghamkhar,2012,330.0,ghamkhar2011,10.1007/s11032-011-9612-8,False
456,Triticosecale_,Alheit,2011,,,,True
457,Triticum_aestivum,Zhai,2016,331.0,zhai2016,10.3389/fpls.2016.01617,False
458,Triticum_dicoccum,Russo,2014,,,,True
459,Trypanosoma_brucei,MacLeod,2005,332.0,macleod2005,10.1093/nar/gki980,False
460,Typhula_ishikariensis,Chang,2008,,,,True
461,Undaria_pinnatifida,Shan,2015,333.0,shan2015,10.1186/s12864-015-2184-y,False
462,Urochloa_humidicola,Vigna,2016,,,,True
463,Vaccinium_corymbosum,McCallum,2016,334.0,mccallum2016,10.1007/s11032-016-0443-5,False
464,Vaccinium_macrocarpon,Covarrubias-Pazaran,2016,335.0,covarrubiaspazaran2016,10.1186/s12864-016-2802-3,False
465,Vanilla_tahitensis,Lepers-Andrzejewski,2012,336.0,lepersandrzejewski2012,10.2135/cropsci2010.11.0634,False
466,Venturia_inaequalis,Broggini,2011,,,,True
467,Vespula_vulgaris,Sirvio,2011,337.0,sirvio2011,10.1186/1471-2156-12-95,False
468,Vicia_faba,Kaur,2014,338.0,kaur2014,10.1016/j.plantsci.2013.11.014,False
469,Vigna_angularis,Liu,2016,339.0,liu2016d,10.1038/srep39523,False
470,Vigna_mungo,Gupta,2008,340.0,gupta2008,10.1139/g08-050,False
471,Vigna_radiata,Wang,2016,341.0,wang2016,10.1016/j.cj.2016.06.010,False
472,Vigna_subterranea,Ahmad,2016,,,,True
473,Vigna_unguiculata,Kongjaimun,2012,342.0,kongjaimun2012,10.1139/g11-078,False
474,Vigna_vexillata,Marubodee,2015,343.0,marubodee2015,10.1371/journal.pone.0138942,False
475,Vitis_amurensis,Liu,2013,344.0,liu2013c,,False
476,Vitis_cinerea,Zhang,2009,345.0,zhang2009,10.1007/s00122-009-1107-1,False
477,Vitis_vinifera,Guo,2015,346.0,guo2015b,10.3389/fpls.2015.00393,False
478,Xenopus_tropicalis,Wells,2011,347.0,wells2011,10.1016/j.ydbio.2011.03.022,False
479,Xiphophorus_maculatus,Amores,2014,348.0,amores2014,10.1534/genetics.114.164293,False
480,Zea_mays,Corbet-Detig,2015,349.0,zhou2016b,10.1186/s12864-016-2555-z,False
481,Zea_mays,Zhou,2016,349.0,zhou2016b,10.1186/s12864-016-2555-z,False
482,Zea_nicaraguensis,Mano,2012,,,,True
483,Ziziphus_jujuba,Zhang,2016,350.0,zhang2016c,10.1007/s11295-016-1032-9,False
484,Zoysia_japonica,Wang,2015,351.0,wang2015c,10.1111/tpj.12842,False
485,Zoysia_matrella,Huang,2016,352.0,huang2016,10.1186/s12864-016-2969-7,False
486,Zymoseptoria_tritici,Lendenmann,2014,353.0,lendenmann2014,10.1534/g3.114.015289,False
