doi,map_id,species_name,si_author,si_year,map_length_cM,n_markers,reason,best_guess_doi,best_guess_title,search_hint
,RM0106,Citrus unshiu,Shimada,2014,990.9,706,"A paper by this author on this species in this year exists, but it is not a mapping study — the map is likely in a different paper by the same group, or in supplementary material.",10.1016/j.plantsci.2014.09.008,Characterization of three linalool synthase genes from Citrus unshiu Marc. and analysis of linalool-mediated resistance against Xanthomonas citri subsp. citri and Penicilium italicum in citrus leaves and fruits,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0108,Cochliobus sativus,Zhong,2002,849.4,158,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.5010/jpb.2002.29.3.151,Construction of a Genetic Linkage Map in Radish(Raphanus sativus L.) Using RAPD Markers,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0146,Dendrobium officinale,Lu,2012,1210.9,169,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",,,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0150,Drosophila melanogaster,Corbet-Detig,2015,105.46085,969,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1534/genetics.116.190389,Selection on Inversion Breakpoints Favors Proximity to Pairing Sensitive Sites in Drosophila melanogaster,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0151,Drosophila pseudoobscura,Corbet-Detig,2015,53.520111655,141,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1079/cabicompendium.19947,Drosophila pseudoobscura,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0161,Epinephelus coioides,You,2013,1582.7,4608,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.3750/aip2014.44.1.07,Molecular markers for parentage analysis in the grouper F1 hybrid Epinephelus coioides × Epinephelus lanceolatus (Actinopterygii: Perciformes: Serranidae),"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0164,Eragrostis tef,Zeid,2011,1277.4,,"A paper by this author on this species in this year exists, but it is not a mapping study — the map is likely in a different paper by the same group, or in supplementary material.",10.1016/j.fcr.2011.10.013,Genetic diversity in tef (Eragrostis tef) germplasm using SSR markers,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0170,Eucalyptus globulus,Gion,2016,1520,,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",,,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0197,Gnathopogon caerulescens,Kakioka,2013,1390.9,1622,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1186/1471-2164-14-32,"A RAD-based linkage map and comparative genomics in the gudgeons (genus Gnathopogon, Cyprinidae)","Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0218,Homo sapiens,Corbet-Detig,2015,3179.9563005,276215,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.18137/rnu.het.22.07.p.015,From Homo Habllis to Homo Sapiens and Back,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0223,Hypsizygus marmoreus,Sun,2016,86.2,14,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.3390/biom10020298,Cyclic Dipeptides Mediating Quorum Sensing and Their Biological Effects in Hypsizygus Marmoreus,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0235,Lagerstroemia,He,2014,1162.1,173,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.3390/f12030322,A Genetic Linkage Map of BC2 Population Reveals QTL Associated with Plant Architecture Traits in Lagerstroemia,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0238,Lateolabrax japonicus,Liu,2016,2957.79,3000,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1079/cabicompendium.77957,Lateolabrax japonicus (japanese seaperch),"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0242,Lentinula edodes,Gong,2016,983.7,572,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1016/j.funbio.2014.01.001,Constructing a new integrated genetic linkage map and mapping quantitative trait loci for vegetative mycelium growth rate in Lentinula edodes,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0243,Lepisosteus oculatus,Corbet-Detig,2015,2923.736,2820,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1080/00028487.2017.1353546,"Relative bias and precision of age estimates among calcified structures of Spotted Gar Lepisosteus oculatus, Shortnose Gar Lepisosteus platostomus, and Longnose Gar Lepisosteus osseus","Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0246,Leptopilina clavipes,Pannebakker,2004,219.9,32,"A paper by this author on this species in this year exists, but it is not a mapping study — the map is likely in a different paper by the same group, or in supplementary material.",10.1139/g03-137,Cytology ofWolbachia-induced parthenogenesis inLeptopilina clavipes(Hymenoptera: Figitidae),"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0247,Lilium,Shahin,2011,1627,411,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.18174/212113,Development of genomic resources for ornamental lilies (Lilium L.),"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0282,Mus musculus,Liu,2014,1288,,"A paper by this author on this species in this year exists, but it is not a mapping study — the map is likely in a different paper by the same group, or in supplementary material.",10.1186/s12953-015-0076-3,In-depth Proteomic mapping of mouse (Mus musculus) epididymal constructive basis for sperm maturation,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0283,Mus musculus,Corbet-Detig,2015,1436.348,9872,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.34756/geos.2021.17.38169,Акустическая коммуникация домовых мышей (Mus musculus),"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0290,Nasonia vitripennis,Beukeboom,2010,515,36,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1534/genetics.105.044743,No Patrigenes Required for Femaleness in the Haplodiploid Wasp Nasonia vitripennis,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0309,Oryzias latipes,Corbet-Detig,2015,1426.93,2142,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",,,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0318,Papio anubis,Corbet-Detig,2015,2422.1,242,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1079/cabicompendium.70747,Papio anubis,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0333,Philomachus pugnax,Farrell,2013,641.6,58,"A paper by this author on this species in this year exists, but it is not a mapping study — the map is likely in a different paper by the same group, or in supplementary material.",10.1007/s12686-012-9639-0,"Isolation, characterization and predicted genome locations of ruff (Philomachus pugnax, AVES) microsatellite loci","Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0337,Phytophthora capsici,Lamour,2012,1654,1136,"A paper by this author on this species in this year exists, but it is not a mapping study — the map is likely in a different paper by the same group, or in supplementary material.",10.1111/j.1364-3703.2011.00754.x,The oomycete broad‐host‐range pathogen Phytophthora capsici,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0351,Pinus sylvestris,Lind,2007,1468,358,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1079/cabicompendium.41534,Pinus mugo x Pinus sylvestris,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0357,Plasmodium yoelii,Li,2011,579.2,,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1079/cabicompendium.69060,Plasmodium yoelii yoelii,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0358,Pleurotus eryngii,Im,2016,1047.8,256,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",,,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0367,Populus simonii,Mousavi,2016,4356.04,1430,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",,,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0369,Populus trichocarpa,Corbet-Detig,2015,2801.5,411,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1079/cabicompendium.42991,Populus 'Charkowiensis' x Populus trichocarpa,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0382,Pseudotsuga menziesii,Ukrainetz,2008,938.6,,"A paper by this author on this species in this year exists, but it is not a mapping study — the map is likely in a different paper by the same group, or in supplementary material.",10.1139/x07-234,Heritability and phenotypic and genetic correlations of coastal Douglas-fir (Pseudotsuga menziesii) wood quality traits,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0383,Pungitius pungitius,Rastas,2016,1980.74,20054,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1079/cabicompendium.67438,Pungitius pungitius,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0385,Pyrenophora teres,Ellwood,2010,2477.7,243,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1186/gb-2010-11-11-r109,A first genome assembly of the barley fungal pathogen Pyrenophora teres f. teres,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0388,Pyrus pyrifolia,Yamamoto,2014,1039,275,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1270/jsbbs.15085,Physical mapping of black spot disease resistance/susceptibility-related genome regions in Japanese pear (<i>Pyrus pyrifolia</i>) by BAC-FISH,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0389,Pyrus x,Chen,2015,1661.4,743,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1016/j.scienta.2017.02.015,Construction of a high-density genetic linkage map in pear (Pyrus communis×Pyrus pyrifolia nakai) using SSRs and SNPs developed by SLAF-seq,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0397,Rosa hybrida,Bourke,2017,573.66,25695,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1079/cabicompendium.47815,Rosa hybrida,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0412,Sebastes schlegelii,Chu,2014,1346.85,435,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1007/s11802-014-2301-6,A microsatellite genetic linkage map of black rockfish (Sebastes schlegeli),"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0422,Solanum habrochaites,Geethanjali,2011,118.7,16,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",,,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0443,Taxodium mucronatum,Wang,2016,976.5,179,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.1079/cabicompendium.52619,Taxodium distichum x Taxodium mucronatum,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0449,Toxoplasma gondii,Khan,2005,592,,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",,,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0458,Triticum dicoccum,Russo,2014,2879.3,9040,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",,,"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0472,Vigna subterranea,Ahmad,2016,608.3,238,"No Crossref record found matching species + first author + year. The map may be in supplementary material of a QTL or breeding paper, in a thesis, or in a journal Crossref does not index well.",10.51984/jopas.v17i1.92,تقييم نمو نبات البامبارا Bambara groundnut (Vigna subterranea),"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
,RM0482,Zea nicaraguensis,Mano,2012,793.5,236,"A paper by this author on this species in this year exists, but it is not a mapping study — the map is likely in a different paper by the same group, or in supplementary material.",10.1093/aob/mct160,Flooding tolerance in interspecific introgression lines containing chromosome segments from teosinte (Zea nicaraguensis) in maize (Zea mays subsp. mays),"Try the species name with the author in Google Scholar; if the paper is a QTL or breeding study, the linkage map is often in its supplementary tables rather than the title."
