map_id,species_name,si_author,si_year,map_length_cM,n_markers,reason,best_guess_doi,best_guess_title,search_hint
RM0351,Pinus sylvestris,Lind,2007,1468.0,358.0,A same-species entry exists in Title_LinkageMap.csv but author or year disagrees — check whether the list entry is the same study.,10.1079/cabicompendium.41534,Pinus mugo x Pinus sylvestris,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0367,Populus simonii,Mousavi,2016,4356.04,1430.0,A same-species entry exists in Title_LinkageMap.csv but author or year disagrees — check whether the list entry is the same study.,,,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0382,Pseudotsuga menziesii,Ukrainetz,2008,938.6,,"Not found in Title_LinkageMap.csv, the Corbett-Detig supplement, or Crossref by species + author + year.",10.1139/x07-234,Heritability and phenotypic and genetic correlations of coastal Douglas-fir (Pseudotsuga menziesii) wood quality traits,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0383,Pungitius pungitius,Rastas,2016,1980.74,20054.0,"Not found in Title_LinkageMap.csv, the Corbett-Detig supplement, or Crossref by species + author + year.",10.1079/cabicompendium.67438,Pungitius pungitius,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0385,Pyrenophora teres,Ellwood,2010,2477.7,243.0,"Not found in Title_LinkageMap.csv, the Corbett-Detig supplement, or Crossref by species + author + year.",10.1186/gb-2010-11-11-r109,A first genome assembly of the barley fungal pathogen Pyrenophora teres f. teres,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0388,Pyrus pyrifolia,Yamamoto,2014,1039.0,275.0,A same-species entry exists in Title_LinkageMap.csv but author or year disagrees — check whether the list entry is the same study.,10.1270/jsbbs.15085,Physical mapping of black spot disease resistance/susceptibility-related genome regions in Japanese pear (<i>Pyrus pyrifolia</i>) by BAC-FISH,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0389,Pyrus x,Chen,2015,1661.4,743.0,A same-species entry exists in Title_LinkageMap.csv but author or year disagrees — check whether the list entry is the same study.,10.1016/j.scienta.2017.02.015,Construction of a high-density genetic linkage map in pear (Pyrus communis×Pyrus pyrifolia nakai) using SSRs and SNPs developed by SLAF-seq,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0397,Rosa hybrida,Bourke,2017,573.66,25695.0,"Not found in Title_LinkageMap.csv, the Corbett-Detig supplement, or Crossref by species + author + year.",10.1079/cabicompendium.47815,Rosa hybrida,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0422,Solanum habrochaites,Geethanjali,2011,118.7,16.0,A same-species entry exists in Title_LinkageMap.csv but author or year disagrees — check whether the list entry is the same study.,,,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0449,Toxoplasma gondii,Khan,2005,592.0,,"Not found in Title_LinkageMap.csv, the Corbett-Detig supplement, or Crossref by species + author + year.",,,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0458,Triticum dicoccum,Russo,2014,2879.3,9040.0,A same-species entry exists in Title_LinkageMap.csv but author or year disagrees — check whether the list entry is the same study.,,,Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
RM0472,Vigna subterranea,Ahmad,2016,608.3,238.0,A same-species entry exists in Title_LinkageMap.csv but author or year disagrees — check whether the list entry is the same study.,10.51984/jopas.v17i1.92,تقييم نمو نبات البامبارا Bambara groundnut (Vigna subterranea),Check Title_LinkageMap.csv by species alone; if the study is a QTL or breeding paper the map is often in the supplementary tables rather than the title.
