species_name,ott_id,ott_accepted_name,taxon_rank,family,source_family,source_ott_id,ott_change_type,ott_change_note,source_family_issue,duplicate_taxon_note,flag_fuzzy_match,flag_not_species_rank,flag_duplicate_taxon,flag_chromosome_conflict
Chenopodium quinoa,ott117198,Chenopodium quinoa,species,Chenopodiaceae,Amaranthaceae,117198,,,genuine taxonomic revision or error,,False,False,False,False
Chlamys farreri,ott56422,Azumapecten farreri,species,Pectinidae,Pectinidae,100122,different_taxon,Stored id was 'Notochlamys hexactes' (species); name resolves to 'Azumapecten farreri'.,,,False,False,False,False
Chlamys noblis,ott1002218,Mimachlamys crassicostata,species,Pectinidae,Pectinidae,6343069,different_taxon,Stored id was 'Pecten foulcheri' (no rank); name resolves to 'Mimachlamys crassicostata'.,,,True,False,False,False
Chrysanthemum morifolium,ott3899190,Chrysanthemum x morifolium,species,Asteraceae,Asteraceae,452366,same_genus_diff_species,Stored id was 'Chrysanthemum japonense'; name now resolves to 'Chrysanthemum x morifolium'.,,,False,False,False,False
Cochliobus sativus,ott4930749,Cochliobolus sativus,species,Pleosporaceae,Pleosporaceae,204741,different_taxon,Stored id was 'Bipolaris sorokiniana' (species); name resolves to 'Cochliobolus sativus'.,,,True,False,False,False
Coprinus cinereus,ott5304351,Coprinus cinereus,species,Agaricaceae,Psathyrellaceae,5304351,,,genuine taxonomic revision or error,,False,False,False,False
Cucurbita maxima,ott379272,Cucurbita maxima,species,Cucurbitaceae,Cucurbitaceae,198660,stored_was_infraspecific,Stored id pointed to subspecies 'Cucurbita maxima subsp. andreana'.,,,False,False,False,False
Cynodon dactylon,ott927435,Cynodon dactylon,species,Poaceae,Poaceae,927435,,,,,False,False,False,True
Dendrobium officinale,ott7046610,Dendrobium officinale,species,Orchidaceae,Orchidaceae,293900,same_genus_diff_species,Stored id was 'Dendrobium aphyllum'; name now resolves to 'Dendrobium officinale'.,,,False,False,False,False
Fenneropenaeus chinensis,ott475468,Penaeus chinensis,species,Penaeidae,Penaeidae,1076853,same_genus_diff_species,Stored id was 'Penaeus sp. HCCP-2002'; name now resolves to 'Penaeus chinensis'.,,Same OTT taxon (ott475468) as: Penaeus chinensis. These are the same organism under different names and should be merged in maps.csv.,False,False,True,False
Fusarium circinatum,ott955281,Gibberella circinata,species,Nectriaceae,Nectriaceae,75556,different_taxon,Stored id was 'Fusarium circinatum FSP 34' (no rank - terminal); name resolves to 'Gibberella circinata'.,,,False,False,False,False
Fusarium graminearum,ott264388,Gibberella zeae,species,Nectriaceae,Nectriaceae,5726284,different_taxon,Stored id was 'Fusarium graminearum CS3005' (no rank - terminal); name resolves to 'Gibberella zeae'.,,,False,False,False,False
Fusarium oxysporum,ott404217,Fusarium oxysporum,species,Nectriaceae,Nectriaceae,731146,same_genus_diff_species,Stored id was 'Fusarium oxysporum species complex'; name now resolves to 'Fusarium oxysporum'.,,,False,False,False,False
Fusarium verticillioides,ott584890,Gibberella fujikuroi,species,Nectriaceae,Nectriaceae,966934,different_taxon,Stored id was 'Fusarium verticillioides 7600' (no rank - terminal); name resolves to 'Gibberella fujikuroi'.,,,False,False,False,False
Hieracium,ott23821,Hieracium,genus,Asteraceae,Asteraceae,711719,same_genus_diff_species,Stored id was 'Hieracium mixtum'; name now resolves to 'Hieracium'.,,,False,True,False,False
Hyla aborea,ott677266,Hyla arborea,species,Hylidae,Hylidae,3619928,same_genus_diff_species,Stored id was 'Hyla europaea'; name now resolves to 'Hyla arborea'.,,,True,False,False,False
Hypsizygus marmoreus,ott762099,Hypsizygus marmoreus,species,Lyophyllaceae,Tricholomataceae,762099,,,genuine taxonomic revision or error,,False,False,False,False
Lagerstroemia,ott264011,Lagerstroemia,genus,Lythraceae,Lythraceae,838580,same_genus_diff_species,Stored id was 'Lagerstroemia speciosa'; name now resolves to 'Lagerstroemia'.,,,False,True,False,False
Lates calcarifer,ott437601,Lates calcarifer,species,Centropomidae,Latidae,6362446,stored_id_dead,Stored OTT id 6362446 no longer exists in the OTT taxonomy.,genuine taxonomic revision or error,,False,False,False,False
Laupala,ott743052,Laupala,genus,Gryllidae,Gryllidae,168740,same_genus_diff_species,Stored id was 'Laupala molokaiensis'; name now resolves to 'Laupala'.,,,False,True,False,False
Lens culinaris,ott156245,Lens culinaris,species,Fabaceae,Fabaceae,6245,stored_id_dead,Stored OTT id 6245 no longer exists in the OTT taxonomy.,,,False,False,False,False
Lentinula edodes,ott162647,Lentinula edodes,species,Omphalotaceae,Marasmiaceae,162647,,,genuine taxonomic revision or error,,False,False,False,False
Lilium,ott748393,Lilium,genus,Liliaceae,Liliaceae,73804,same_genus_diff_species,Stored id was 'Lilium maculatum'; name now resolves to 'Lilium'.,,,False,True,False,False
Luffa acutangula,ott565719,Luffa acutangula,species,Cucurbitaceae,Cucurbitaceae,379286,same_genus_diff_species,Stored id was 'Luffa'; name now resolves to 'Luffa acutangula'.,,,False,False,False,False
Meloidogyne hapla,ott1043271,Meloidogyne hapla,species,Meloidogynidae,Heteroderidae,1043271,,,genuine taxonomic revision or error,,False,False,False,False
Melospiza melodia,ott265548,Melospiza melodia,species,Passerellidae,Emberizidae,265548,,,genuine taxonomic revision or error,,False,False,False,False
Musca domestica,ott1011010,Musca domestica,species,Muscidae,Schizophoroa,1011010,,,genuine taxonomic revision or error,,False,False,False,False
Mycosphaerella fijiensis,ott857565,Mycosphaerella fijiensis,species,Mycosphaerellaceae,Mycosphaerellaceae,857565,,,,Same OTT taxon (ott857565) as: Pseudocercospora fijiensis. These are the same organism under different names and should be merged in maps.csv.,False,False,True,False
Nothobranchius furzeri,ott513643,Nothobranchius furzeri,species,Nothobranchiidae,Aplocheilidae,513643,,,genuine taxonomic revision or error,,False,False,False,False
Patinopecten yessoensis,ott449027,Mizuhopecten yessoensis,species,Pectinidae,Pectinidae,6370603,stored_id_dead,Stored OTT id 6370603 no longer exists in the OTT taxonomy.,,,False,False,False,False
Penaeus chinensis,ott475468,Penaeus chinensis,species,Penaeidae,Penaeidae,475468,,,,Same OTT taxon (ott475468) as: Fenneropenaeus chinensis. These are the same organism under different names and should be merged in maps.csv.,False,False,True,False
Pennisetum glaucum,ott1079449,Cenchrus americanus,species,Poaceae,Poaceae,1027230,different_taxon,Stored id was 'Pennisetum schweinfurthii' (species); name resolves to 'Cenchrus americanus'.,,,False,False,False,False
Primulina eburnea,ott3885394,Primulina eburnea,species,Gesneriaceae,Gesneriaceae,5264953,same_genus_diff_species,Stored id was 'Primulina eburnea'; name now resolves to 'Primulina eburnea'.,,,False,False,False,False
Prunus persica,ott259054,Prunus persica,species,Rosaceae,Rosaceae,5146629,stored_was_hybrid,"Stored id pointed to the hybrid 'Prunus persica x Prunus dulcis', not the species.",,,False,False,False,False
Pseudocercospora fijiensis,ott857565,Mycosphaerella fijiensis,species,Mycosphaerellaceae,Mycosphaerellaceae,4073293,different_taxon,Stored id was 'Pseudocercospora eucalypticola' (species); name resolves to 'Mycosphaerella fijiensis'.,,Same OTT taxon (ott857565) as: Mycosphaerella fijiensis. These are the same organism under different names and should be merged in maps.csv.,False,False,True,False
Pyrus x,ott259068,Pyrus,genus,Rosaceae,Rosaceae,3902937,,"Source string ""Pyrus_x"" is a placeholder for an interspecific Pyrus hybrid; no binomial given in the source. Resolved to the GENUS Pyrus (ott259068). The underlying study (Chen 2015) should be consulted to identify the actual cross before this record is used at species level.",,,False,True,False,False
Quercus,ott791121,Quercus,genus,Fagaceae,Fagaceae,239659,same_genus_diff_species,Stored id was 'Quercus robur'; name now resolves to 'Quercus'.,,,False,True,False,False
Rosa hybrida,ott3905012,Rosa hybrid cultivar,species,Rosaceae,Rosaceae,3905484,same_genus_diff_species,Stored id was 'Rosa rubrifolia'; name now resolves to 'Rosa hybrid cultivar'.,,,False,False,False,False
Saccharina japonica,ott246789,Saccharina japonica,species,Laminariaceae,Lauraceae,246789,,,genuine taxonomic revision or error,,False,False,False,False
Saccharum spp,ott895796,Saccharum sp.,species,Poaceae,Poaceae,1063525,same_genus_diff_species,Stored id was 'Saccharum hybrid cultivar'; name now resolves to 'Saccharum sp.'.,,,True,False,False,False
Spartina pectinata,ott778648,Sporobolus michauxianus,species,Poaceae,Poaceae,3953843,same_genus_diff_species,Stored id was 'Sporobolus longispicus'; name now resolves to 'Sporobolus michauxianus'.,,,False,False,False,False
Spinacia oleracea,ott317784,Spinacia oleracea,species,Chenopodiaceae,Amaranthaceae,317784,,,genuine taxonomic revision or error,,False,False,False,False
Taraxacum koksaghyz,ott843397,Taraxacum kok-saghyz,species,Asteraceae,Asteraceae,843397,,,,,True,False,False,False
Theobroma cacao,ott388185,Theobroma cacao,species,Malvaceae,Sterculiaceae,388185,,,genuine taxonomic revision or error,,False,False,False,False
Torreya grandis,ott61762,Torreya grandis,species,Taxaceae,Cephalotaxaceae,61762,,,genuine taxonomic revision or error,,False,False,False,False
Tribolium confusum,ott389727,Tribolium confusum,species,Tenebrionidae,Tenebrionidae,677520,same_genus_diff_species,Stored id was 'Tribolium echinatum'; name now resolves to 'Tribolium confusum'.,,,False,False,False,False
Triticosecale,ott4731601,x Triticosecale,genus,Poaceae,Poaceae,5148344,same_genus_diff_species,Stored id was 'x Triticosecale sp. Chase 19308'; name now resolves to 'x Triticosecale'.,,,False,True,False,False
Triticum dicoccum,ott605173,Triticum turgidum,species,Poaceae,Poaceae,810903,same_genus_diff_species,Stored id was 'Triticum dicoccoides'; name now resolves to 'Triticum turgidum'.,,,False,False,False,False
